those are checkers , DET AUX NOUN
he does not have fingers , PRON AUX PART VERB NOUN
I can not see , PRON AUX PART VERB
do not throw it , AUX PART VERB PRON
maybe the sunrise , ADV DET NOUN
you put all that paper in the trash can for Mommy , PRON VERB DET DET NOUN ADP DET NOUN NOUN ADP PROPN
it is at his house so he can play with it , PRON AUX ADP PRON NOUN SCONJ PRON AUX VERB ADP PRON
you will hurt Mr Cromer head , PRON AUX VERB PROPN PROPN NOUN
you blow it , PRON VERB PRON
a house can not dance , DET NOUN AUX PART VERB
you will hurt Ursula too , PRON AUX VERB PROPN ADV
you can blow , PRON AUX VERB
David is Ursula little boy , PROPN AUX PROPN ADJ NOUN
it goes there , PRON VERB ADV
I could give you some paper , PRON AUX VERB PRON DET NOUN
you will hurt the suitcase too , PRON AUX VERB DET NOUN ADV
he said with those horse , PRON VERB ADP DET NOUN
you fell down , PRON VERB ADP
do not frighten you , AUX PART VERB PRON
here stand on the cart , ADV VERB ADP DET NOUN
I am not going to frighten you Adam , PRON AUX PART VERB PART VERB PRON PROPN
you hit the floor , PRON VERB DET NOUN
it is a new word from one of his books , PRON AUX DET ADJ NOUN ADP NUM ADP PRON NOUN
the one you were singing at the table , DET NOUN PRON AUX VERB ADP DET NOUN
now you may put it in , ADV PRON AUX VERB PRON ADP
you have_to boil them on the stove , PRON PROPN VERB PRON ADP DET NOUN
you do it , PRON VERB PRON
Adam did not write that , PROPN AUX PART VERB DET
he is probably too little to play football , PRON AUX ADV ADV ADJ PART VERB NOUN
Mr Walter did , PROPN PROPN VERB
the bunny xxx hop and the bunny at play , DET NOUN NUM NOUN CCONJ DET NOUN ADP NOUN
you woke up at fourteen o'clock , PRON VERB ADP ADP NUM NOUN
a pail of good fresh milk skedaddle , DET NOUN ADP ADJ ADJ NOUN NOUN
I had like to be a bunny today , PRON VERB INTJ PART VERB DET NOUN NOUN
on your side , ADP PRON NOUN
that is a horse , DET AUX DET NOUN
come take Ursula gloves off , VERB VERB PROPN NOUN ADP
it was raining , PRON AUX VERB
you blow it , PRON VERB PRON
that is very nice , DET AUX ADV ADJ
I need a vitamin too , PRON VERB DET NOUN ADV
you tell me , PRON VERB PRON
you got them , PRON VERB PRON
you hurt your arm on the chair , PRON VERB PRON NOUN ADP DET NOUN
my clock only goes to twelve , PRON NOUN ADV VERB ADP NUM
there are some on the floor Adam , PRON AUX DET ADP DET NOUN PROPN
from the bag , ADP DET NOUN
Adam dropped the pencil , PROPN VERB DET NOUN
show it to me , VERB PRON ADP PRON
pick the play toys up , VERB DET NOUN VERB ADP
I like it , PRON VERB PRON
that is the tattooed man , DET AUX DET ADJ NOUN
he does look like Yogi , PRON AUX VERB ADP PROPN
that is a good boy , DET AUX DET ADJ NOUN
I do not think I can , PRON AUX PART VERB PRON AUX
maybe that is a baby walker , ADV DET AUX DET NOUN NOUN
let me hold it and help you , VERB PRON VERB PRON CCONJ VERB PRON
push it over near the table , VERB PRON ADP SCONJ DET NOUN
I did not bring mine today , PRON AUX PART VERB PRON NOUN
you do it , PRON VERB PRON
I did not need it today , PRON AUX PART VERB PRON NOUN
push this one back and you choose another one , VERB DET NUM ADV CCONJ PRON VERB DET NOUN
do not take it apart , AUX PART VERB PRON ADV
Cromer has a watch , NOUN VERB DET NOUN
he is conducting , PRON AUX VERB
Adam hurt himself , PROPN VERB PRON
Adam you have another one out here , PROPN PRON VERB DET NOUN ADV ADV
one part is black and the other is silver , NUM NOUN AUX ADJ CCONJ DET ADJ VERB ADJ
hold it at the top , VERB PRON ADP DET NOUN
it does not really open , PRON AUX PART ADV ADJ
let Ursula show you , VERB PROPN VERB PRON
the papers are yellow , DET NOUN AUX ADJ
a hatso a fatso , DET NOUN DET NOUN
I do not know , PRON AUX PART VERB
I do not think I need anything else thank_you , PRON AUX PART VERB PRON VERB PRON ADV PRON
he is in there , PRON AUX ADP ADV
I do not own one , PRON AUX PART VERB NUM
I think it can be turned , PRON VERB PRON AUX AUX VERB
you going to give back to Ursula now , PRON VERB PART VERB ADV ADP PROPN ADV
Adam just look , PROPN ADV VERB
I already have mine , PRON ADV VERB PRON
this is j , DET AUX DET
those are Daddy things , DET AUX NOUN NOUN
put it back in the briefcase , VERB PRON ADV ADP DET NOUN
do not take them out , AUX PART VERB PRON ADP
I see a seal , PRON VERB DET NOUN
looks like a real tiny fish , VERB ADP DET ADJ ADJ NOUN
Adam I am sure you did not say ride on a ship , PROPN PRON AUX ADJ PRON AUX PART VERB VERB ADP DET NOUN
that is a circle , DET AUX DET NOUN
you have_to take them out first , PRON NOUN VERB PRON ADP ADV
the sunshine is laughing , DET NOUN AUX VERB
Adam you have got dirty hands , PROPN PRON AUX VERB ADJ NOUN
that is a bird and a tree , DET AUX DET NOUN CCONJ DET NOUN
I think he said anything , PRON VERB PRON VERB PRON
hold it now , VERB PRON ADV
he is sitting on the floor xxx standing on the floor , PRON AUX VERB ADP DET NOUN NOUN VERB ADP DET NOUN
it does not look like anything , PRON AUX PART VERB ADP PRON
I do not know , PRON AUX PART VERB
I think it looks like something , PRON VERB PRON VERB ADP PRON
thank_you for the coffee , PRON ADP DET NOUN
you mean boat ship , PRON VERB NOUN NOUN
that is his eyebrow , DET AUX PRON NOUN
that is not my hair+pin , DET AUX PART PRON X
Adam has a nose , PROPN VERB DET NOUN
that is a radiator , DET AUX DET NOUN
that is not a pin , DET AUX PART DET NOUN
that would hurt , DET AUX VERB
I do not think he knows that , PRON AUX PART VERB PRON VERB SCONJ
push this up , VERB DET ADP
look at it , VERB ADP PRON
there is another one in the kitchen , PRON AUX DET NUM ADP DET NOUN
put your finger on top of mine , VERB PRON NOUN ADP NOUN ADP NOUN
I do not know , PRON AUX PART VERB
that would hurt , DET AUX VERB
Adam not funny , PROPN PART ADJ
maybe she is afraid of doggies , ADV PRON AUX ADJ ADP NOUN
you call them overalls , PRON VERB PRON NOUN
Judy and Buzz , PROPN CCONJ PROPN
I do not think I have ever seen anything like that , PRON AUX PART VERB PRON AUX ADV VERB PRON ADP DET
that is a couple we know , DET AUX DET NOUN PRON VERB
I do not know , PRON AUX PART VERB
that is an orange seed , DET AUX DET ADJ NOUN
I guess the owl has_to put them on himself , PRON VERB DET NOUN PUNCT VERB PRON ADP PRON
I am just trying to get the string off , PRON AUX ADV VERB PART VERB DET NOUN ADP
I do not know , PRON AUX PART VERB
it is Goldilocks , PRON AUX NOUN
I do not hurt myself thank_you , PRON AUX PART VERB PRON PRON
it does not belong on here , PRON AUX PART VERB ADP ADV
because they are , SCONJ PRON AUX
I do not know , PRON AUX PART VERB
do not write on your arm , AUX PART VERB ADP PRON NOUN
write on the paper , VERB ADP DET NOUN
xxx Perro is dirty , PROPN PROPN AUX ADJ
it does not belong on here , PRON AUX PART VERB ADP ADV
let me want fork , VERB PRON VERB NOUN
that is a tail , DET AUX DET NOUN
looks like a road , VERB ADP DET NOUN
he does not feel like exercising , PRON AUX PART VERB ADP VERB
you are jabbering , PRON AUX VERB
that was a marvelous speech , DET AUX DET ADJ NOUN
wake up Adam , VERB ADP PROPN
they are made like trees , PRON AUX VERB ADP NOUN
you are going to stop talking , PRON AUX VERB PART VERB VERB
you are going to feed the pigeons , PRON AUX VERB PART VERB DET NOUN
you used to have a book about a tattooed man Adam , PRON VERB PART VERB DET NOUN ADP DET ADJ NOUN PROPN
because I am Cecile , SCONJ PRON AUX ADJ
that is a plum , DET AUX DET NOUN
here Adam here is some more , ADV PROPN ADV AUX DET ADV
do not look , AUX PART VERB
let us do it on the table , VERB PRON VERB PRON ADP DET NOUN
bring your cup and I will think about giving you some , VERB PRON NOUN CCONJ PRON AUX VERB ADP VERB PRON DET
a car trailer truck yellow , DET NOUN NOUN NOUN ADJ
I understood fire truck , PRON VERB NOUN NOUN
are you lying on the dog , AUX PRON VERB ADP DET NOUN
wear mittens in the snow , VERB NOUN ADP DET NOUN
do not let it fall , AUX PART VERB PRON VERB
do not push the microphone , AUX PART VERB DET NOUN
she is going to show you something , PRON AUX VERB PART VERB PRON PRON
hello Mr Shell , INTJ PROPN PROPN
because you will spill it , SCONJ PRON AUX VERB PRON
you stay out there , PRON VERB ADV ADV
see you can build it high , VERB PRON AUX VERB PRON ADJ
I do not wear mittens , PRON AUX PART VERB NOUN
you put it on by yourself , PRON VERB PRON ADP ADP PRON
that is a ring , DET AUX DET NOUN
I would not take so many out , PRON AUX PART VERB ADV ADJ ADP
put it back in the folder , VERB PRON ADV ADP DET NOUN
you hold the ring in your hand , PRON VERB DET NOUN ADP PRON NOUN
Adam you give Bambi a ride , PROPN PRON VERB PROPN DET NOUN
you try it , PRON VERB PRON
Cromer is not taking any out , NOUN AUX PART VERB DET ADP
I want you to tell her about this book , PRON VERB PRON PART VERB PRON ADP DET NOUN
you put a little chocolate and hot milk , PRON VERB DET ADJ NOUN CCONJ ADJ NOUN
let us see , VERB PRON VERB
on your foot , ADP PRON NOUN
just one minute now , ADV NUM NOUN ADV
I do not know , PRON AUX PART VERB
this is a raccoon , DET AUX DET NOUN
it was not dancing , PRON AUX PART VERB
looks like a square , VERB ADP DET NOUN
do not hit the baby , AUX PART VERB DET NOUN
I think you have had enough , PRON VERB PRON AUX VERB ADJ
you will hurt the little baby , PRON AUX VERB DET ADJ NOUN
it is a clown he said , PRON AUX DET NOUN PRON VERB
he will cry , PRON AUX VERB
Adam are you writing , PROPN AUX PRON VERB
it is clown Adam , PRON AUX VERB PROPN
I think you had better ask your Mother , PRON VERB PRON AUX ADV VERB PRON PROPN
because they are on the river , SCONJ PRON AUX ADP DET NOUN
take the pencil out_of your mouth , VERB DET NOUN PUNCT PRON NOUN
let us do some tricks , VERB PRON VERB DET NOUN
it needs another battery , PRON VERB DET NOUN
they can not swim , PRON AUX PART VERB
I do not think so , PRON AUX PART VERB ADV
that is his tongue , DET AUX PRON NOUN
I have some more , PRON VERB DET ADV
take the pencil out_of your mouth , VERB DET NOUN PUNCT PRON NOUN
I think this is called a bit , PRON VERB DET AUX VERB DET NOUN
that is an address book , DET AUX DET NOUN NOUN
you may have some water , PRON AUX VERB DET NOUN
now you have too many , ADV PRON VERB ADV ADJ
leave it off , VERB PRON ADP
the racket is not up there , DET NOUN AUX PART ADV ADV
and come and turn this one on , CCONJ VERB CCONJ VERB DET NOUN ADP
give me the strong man , VERB PRON DET ADJ NOUN
angry faces on the dial , ADJ NOUN ADP DET NOUN
take the pencil out_of your mouth , VERB DET NOUN PUNCT PRON NOUN
close the drawer , VERB DET NOUN
it is your home , PRON AUX PRON NOUN
that is a raven , DET AUX DET NOUN
that is fun , DET AUX ADJ
he wo not bite , PRON AUX PART VERB
he is a nice little horse , PRON AUX DET ADJ ADJ NOUN
that is his nose , DET AUX PRON NOUN
it is good for you , PRON AUX ADJ ADP PRON
you ran into Mr Cromer feet , PRON VERB ADP PROPN PROPN NOUN
I think these are called barbells , PRON VERB DET AUX VERB NOUN
your tail hurts , PRON NOUN VERB
do not sit on that , AUX PART VERB ADP DET
here it comes , ADV PRON VERB
are those pillows , AUX DET NOUN
they are very heavy , PRON AUX ADV ADJ
he could probably lift you up with one hand , PRON AUX ADV VERB PRON ADP ADP NUM NOUN
is it another clown , AUX PRON DET NOUN
you are typing , PRON AUX VERB
did you hit something , AUX PRON VERB PRON
he has a nose too , PRON VERB DET NOUN ADV
that is a good one , DET AUX DET ADJ NOUN
you can bring your train over here and dump them , PRON AUX VERB PRON NOUN ADP ADV CCONJ VERB PRON
that is a round disk , DET AUX DET ADJ NOUN
put your other battery in , VERB PRON ADJ NOUN ADP
you can not lift him up , PRON AUX PART VERB PRON ADP
I do not think Daddy wants his pillows on the floor either , PRON AUX PART VERB NOUN VERB PRON NOUN ADP DET NOUN ADV
the other way Adam , DET ADJ NOUN PROPN
horsie has a nose too , NOUN VERB DET NOUN ADV
you do it , PRON VERB PRON
I will have_to take the stick away , PRON AUX PROPN VERB DET NOUN ADV
come and show her about the fireman and the policeman , VERB CCONJ VERB PRON ADP DET NOUN CCONJ DET NOUN
we do not have_to , PRON VERB PART NOUN
put together again , VERB ADV ADV
look on the floor , VERB ADP DET NOUN
poor David because he lost a piece , ADJ PROPN SCONJ PRON VERB DET NOUN
here is your shoe , ADV AUX PRON NOUN
go look behind your firetruck on the floor , VERB VERB ADP PRON NOUN ADP DET NOUN
we dropped it , PRON VERB PRON
that is a truck , DET AUX DET NOUN
it is a boy , PRON AUX DET NOUN
let us put the outside shells in there , VERB PRON VERB DET ADJ NOUN ADV ADV
a piece of string in your , DET NOUN ADP NOUN ADP PRON
you are not grandson you are Adam , PRON AUX PART NOUN PRON AUX PROPN
are you fixing the dog , AUX PRON VERB DET NOUN
do not turn it over there , AUX PART VERB PRON ADV ADV
it must have been Adam , PRON AUX AUX VERB PROPN
you have_to blow very hard and you will be surprised , PRON PROPN VERB ADV ADV CCONJ PRON AUX VERB ADJ
that is a nice picture of me , DET AUX DET ADJ NOUN ADP PRON
you want to ride the truck , PRON VERB PART VERB DET NOUN
something for them to put their paws on , PRON ADP PRON PART VERB PRON NOUN ADP
I see you did , PRON VERB PRON VERB
blow your own balloons , VERB PRON ADJ NOUN
you have_to hold it , PRON NOUN VERB PRON
you have not see it for a long time , PRON AUX PART VERB PRON ADP DET ADJ NOUN
are you pulling your dog , AUX PRON VERB PRON NOUN
I do not think there are any , PRON AUX PART VERB PRON AUX DET
I think you have had enough tea , PRON VERB PRON AUX VERB ADJ NOUN
that is enough , DET AUX ADJ
is the doggie broken , AUX DET NOUN VERB
you can blow it way up in the air , PRON AUX VERB PRON NOUN ADP ADP DET NOUN
I think he is growling , PRON VERB PRON AUX VERB
I think he understands happy and sad , PRON VERB PRON VERB ADJ CCONJ ADJ
I have plenty , PRON VERB NOUN
I am going to wash his hands and feet , PRON AUX VERB PART VERB PRON NOUN CCONJ NOUN
the other one , DET ADJ NOUN
I already took some , PRON ADV VERB DET
that is enough now , DET AUX ADJ ADV
if he is not careful , SCONJ PRON AUX PART ADJ
come on Adam , VERB ADP PROPN
that looks like fun Adam , DET VERB ADP ADJ PROPN
it is my purse , PRON AUX PRON NOUN
try it now , VERB PRON ADV
looks like a circle , VERB ADP DET NOUN
nothing happened to it , PRON VERB ADP PRON
make it a little bigger Adam , VERB PRON DET ADV ADJ PROPN
I just closed the door , PRON ADV VERB DET NOUN
look under your other wheel , VERB ADP PRON ADJ NOUN
leave those mops alone and come out here , VERB DET NOUN ADV CCONJ VERB ADP ADV
that is an egg , DET AUX DET NOUN
the one you were talking about , DET NOUN PRON AUX VERB ADP
you can not do that honey , PRON AUX PART VERB DET NOUN
let us put this on the other side , VERB PRON VERB DET ADP DET ADJ NOUN
the other one , DET ADJ NOUN
now he stands up , ADV PRON VERB ADP
are you writing a letter , AUX PRON VERB DET NOUN
you are a big boy , PRON AUX DET ADJ NOUN
look under the one , VERB ADP DET NOUN
do not be so rough Adam , AUX PART VERB ADV ADJ PROPN
thank_you very much , PRON ADV ADV
you may break it , PRON AUX VERB PRON
I think you broke it , PRON VERB PRON VERB PRON
Adam you let her look , PROPN PRON VERB PRON VERB
you can peel it now , PRON AUX VERB PRON ADV
they do not really belong over there , PRON AUX PART ADV VERB ADV ADV
you will have_to go find that nickel and give Ursula that nickel , PRON AUX PROPN VERB VERB SCONJ NOUN CCONJ VERB PROPN SCONJ NOUN
look at the horse , VERB ADP DET NOUN
he needs that , PRON VERB SCONJ
I will write you a note then you can have one , PRON AUX VERB PRON DET NOUN ADV PRON AUX VERB NUM
very gentle with it , ADV ADJ ADP PRON
here is a pen for you , ADV AUX DET NOUN ADP PRON
I do not want to ride in the back of the truck , PRON AUX PART VERB PART VERB ADP DET NOUN ADP DET NOUN
that is my pen , DET AUX PRON NOUN
I thought he said you two fighting , PRON VERB PRON VERB PRON NUM VERB
that is David Bunny_Rabbit , DET AUX PROPN PROPN
does the doggie like the pillows , VERB DET NOUN ADP DET NOUN
it came from my purse , PRON VERB ADP PRON NOUN
is that a racket , AUX SCONJ DET NOUN
it is behind you , PRON AUX ADP PRON
sit on the front of the truck Adam and ride now , VERB ADP DET NOUN ADP DET NOUN PROPN CCONJ VERB ADV
Adam I think you are missing your mouth , PROPN PRON VERB PRON AUX VERB PRON NOUN
I can not see , PRON AUX PART VERB
write on the paper , VERB ADP DET NOUN
look it is staying on the wall , VERB PRON AUX VERB ADP DET NOUN
look at your shirt , VERB ADP PRON NOUN
take it back and find the other parts of it , VERB PRON ADV CCONJ VERB DET ADJ NOUN ADP PRON
I do not know , PRON AUX PART VERB
do not ride the roadgrader up there , AUX PART VERB DET NOUN ADV ADV
he does not want his fingers popped either , PRON AUX PART VERB PRON NOUN VERB CCONJ
that is a wolf , DET AUX DET NOUN
and get my pencil out first , CCONJ VERB PRON NOUN ADP ADV
she is waiting for her coffee , PRON AUX VERB ADP PRON NOUN
it is not a big hill , PRON AUX PART DET ADJ NOUN
that is a yak , DET AUX DET NOUN
they do fly , PRON AUX VERB
a blue lion , DET ADJ NOUN
it is very sticky , PRON AUX ADV ADJ
maybe he is looking at his music , ADV PRON AUX VERB ADP PRON NOUN
you can take out the racing car , PRON AUX VERB ADP DET VERB NOUN
he is dancing look at this , PRON AUX VERB NOUN ADP DET
you can not see the music , PRON AUX PART VERB DET NOUN
that is my comb , DET AUX PRON NOUN
it must be over here , PRON AUX VERB ADV ADV
